health,active_weapon,has_helmet,flash_max_alpha,place,spotted,armor,side,velocity_X,Y,velocity_Z,X,Z,velocity_Y,tick,steamid,name,round_num
100,1672082,false,255.0,TSpawn,false,0,t,21202.527,32.0,-6137.6016,1296.0,-167.96875,112649.01,1017,76561198356252021,slaxejezzz,1
100,6177633,false,255.0,CTSpawn,false,0,ct,-7680.0,-1800.0,213.60938,-1776.0,-263.96875,0.0,1017,76561198319723208,HUASOPEEK,1
100,12829599,false,255.0,TSpawn,false,0,t,147451.78,32.0,-8238.0625,1136.0,-164.78845,-38335.86,1017,76561198210626739,zweih,1
100,8422311,false,255.0,CTSpawn,false,0,ct,-9835.719,-1976.0,58.578125,-1776.0,-263.96875,-15790.906,1017,76561198242950384,max,1
100,11977526,false,255.0,TSpawn,false,0,t,64998.367,-64.0,740.45703,1136.0,-164.49915,87237.65,1017,76561198028292758,HObbit,1
100,14025626,false,255.0,TSpawn,false,0,t,-5120.0,-160.0,30.996094,1136.0,-164.43054,9408.0,1017,76561198141272052,xiELO,1
100,5718861,false,255.0,CTSpawn,false,0,ct,-19905.453,-1896.0,-6370.1445,-1720.0,-267.6023,-53425.336,1017,76561198216891576,dgt,1
100,1524631,false,255.0,CTSpawn,false,0,ct,-11365.617,-1976.0,-6424.9336,-1656.0,-267.4583,-136406.27,1017,76561198067722198,luchov,1
100,10765173,false,255.0,CTSpawn,false,0,ct,-76279.95,-1800.0,-6344.8125,-1656.0,-267.20642,34840.203,1017,76561198195642865,meyern,1
100,5784433,false,255.0,TSpawn,false,0,t,5120.0,-307.0,-13.800781,1216.0,-164.81482,-15552.0,1017,76561198036125584,Jame,1
100,1672082,false,255.0,TSpawn,false,0,t,0.0,32.0,-6.3984375,1296.0,-167.96875,0.0,1018,76561198356252021,slaxejezzz,1
100,6177633,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,-6.3984375,-1776.0,-263.96875,0.0,1018,76561198319723208,HUASOPEEK,1
100,12829599,false,255.0,TSpawn,false,0,t,0.0,32.0,-6.3984375,1136.0,-164.78845,0.0,1018,76561198210626739,zweih,1
100,8422311,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,-6.3984375,-1776.0,-263.96875,0.0,1018,76561198242950384,max,1
100,11977526,false,255.0,TSpawn,false,0,t,0.0,-64.0,-6.4023438,1136.0,-164.49915,0.0,1018,76561198028292758,HObbit,1
100,14025626,false,255.0,TSpawn,false,0,t,0.0,-160.0,-6.4023438,1136.0,-164.43054,0.0,1018,76561198141272052,xiELO,1
100,5718861,false,255.0,CTSpawn,false,0,ct,0.0,-1896.0,-6.4023438,-1720.0,-267.6023,0.0,1018,76561198216891576,dgt,1
100,1524631,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,-6.3984375,-1656.0,-267.4583,0.0,1018,76561198067722198,luchov,1
100,10765173,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,-6.3984375,-1656.0,-267.20642,0.0,1018,76561198195642865,meyern,1
100,5784433,false,255.0,TSpawn,false,0,t,0.0,-307.0,-6.4023438,1216.0,-164.81482,0.0,1018,76561198036125584,Jame,1
100,1672082,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1296.0,-167.96875,0.0,1019,76561198356252021,slaxejezzz,1
100,6177633,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,0.0,-1776.0,-263.96875,0.0,1019,76561198319723208,HUASOPEEK,1
100,12829599,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1136.0,-164.78845,0.0,1019,76561198210626739,zweih,1
100,8422311,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,0.0,-1776.0,-263.96875,0.0,1019,76561198242950384,max,1
100,11977526,false,255.0,TSpawn,false,0,t,0.0,-64.0,0.0,1136.0,-164.49915,0.0,1019,76561198028292758,HObbit,1
100,14025626,false,255.0,TSpawn,false,0,t,0.0,-160.0,0.0,1136.0,-164.43054,0.0,1019,76561198141272052,xiELO,1
100,5718861,false,255.0,CTSpawn,false,0,ct,0.0,-1896.0,0.0,-1720.0,-267.6023,0.0,1019,76561198216891576,dgt,1
100,1524631,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,0.0,-1656.0,-267.4583,0.0,1019,76561198067722198,luchov,1
100,10765173,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,0.0,-1656.0,-267.20642,0.0,1019,76561198195642865,meyern,1
100,5784433,false,255.0,TSpawn,false,0,t,0.0,-307.0,0.0,1216.0,-164.81482,0.0,1019,76561198036125584,Jame,1
100,1672082,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1296.0,-167.96875,0.0,1020,76561198356252021,slaxejezzz,1
100,6177633,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,0.0,-1776.0,-263.96875,0.0,1020,76561198319723208,HUASOPEEK,1
100,12829599,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1136.0,-164.78845,0.0,1020,76561198210626739,zweih,1
100,8422311,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,0.0,-1776.0,-263.96875,0.0,1020,76561198242950384,max,1
100,11977526,false,255.0,TSpawn,false,0,t,0.0,-64.0,0.0,1136.0,-164.49915,0.0,1020,76561198028292758,HObbit,1
100,14025626,false,255.0,TSpawn,false,0,t,0.0,-160.0,0.0,1136.0,-164.43054,0.0,1020,76561198141272052,xiELO,1
100,5718861,false,255.0,CTSpawn,false,0,ct,0.0,-1896.0,0.0,-1720.0,-267.6023,0.0,1020,76561198216891576,dgt,1
100,1524631,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,0.0,-1656.0,-267.4583,0.0,1020,76561198067722198,luchov,1
100,10765173,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,0.0,-1656.0,-267.20642,0.0,1020,76561198195642865,meyern,1
100,5784433,false,255.0,TSpawn,false,0,t,0.0,-307.0,0.0,1216.0,-164.81482,0.0,1020,76561198036125584,Jame,1
100,1672082,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1296.0,-167.96875,0.0,1021,76561198356252021,slaxejezzz,1
100,6177633,false,255.0,CTSpawn,false,0,ct,0.0,-1800.0,0.0,-1776.0,-263.96875,0.0,1021,76561198319723208,HUASOPEEK,1
100,12829599,false,255.0,TSpawn,false,0,t,0.0,32.0,0.0,1136.0,-164.78845,0.0,1021,76561198210626739,zweih,1
100,8422311,false,255.0,CTSpawn,false,0,ct,0.0,-1976.0,0.0,-1776.0,-263.96875,0.0,1021,76561198242950384,max,1
100,11977526,false,255.0,TSpawn,false,0,t,0.0,-64.0,0.0,1136.0,-164.49915,0.0,1021,76561198028292758,HObbit,1
100,14025626,false,255.0,TSpawn,false,0,t,0.0,-160.0,0.0,1136.0,-164.43054,0.0,1021,76561198141272052,xiELO,1
100,5718861,false,255.0,CTSpawn,false,0,ct,0.0,-1896.0,0.0,-1720.0,-267.6023,0.0,1021,76561198216891576,dgt,1
